Isolate,Encapsulation,Resistance
6673_8#6,Encapsulated,Non-susceptible
6823_2#18,Encapsulated,Non-susceptible
6631_2#6,Encapsulated,Susceptible
6983_7#67,Unencapsulated,Non-susceptible
6714_8#4,Unencapsulated,Non-susceptible
6805_7#5,Unencapsulated,Non-susceptible
7068_4#20,Encapsulated,Susceptible
6259_7#3,Unencapsulated,Susceptible
6731_4#23,Unencapsulated,Non-susceptible
6593_5#4,Unencapsulated,Non-susceptible
6938_5#5,Encapsulated,Non-susceptible
6972_4#16,Encapsulated,Susceptible
6755_4#4,Encapsulated,Non-susceptible
6730_8#8,Encapsulated,Susceptible
6630_4#21,Encapsulated,Susceptible
6593_4#17,Encapsulated,Susceptible
6830_3#13,Encapsulated,Non-susceptible
6259_6#17,Encapsulated,Susceptible
6631_3#5,Encapsulated,Non-susceptible
6680_4#24,Encapsulated,Non-susceptible
6630_1#6,Encapsulated,Non-susceptible
6807_3#16,Encapsulated,Susceptible
6807_3#3,Unencapsulated,Non-susceptible
7011_5#23,Encapsulated,Susceptible
6753_2#1,Encapsulated,Susceptible
7004_5#6,Encapsulated,Non-susceptible
6731_2#16,Encapsulated,Non-susceptible
6730_5#2,Encapsulated,Susceptible
6938_6#11,Encapsulated,Non-susceptible
7011_5#2,Encapsulated,Susceptible
6714_8#13,Encapsulated,Susceptible
6925_8#3,Encapsulated,Non-susceptible
6631_3#17,Encapsulated,Susceptible
6680_7#18,Encapsulated,Non-susceptible
6630_2#9,Encapsulated,Susceptible
7054_6#18,Encapsulated,Non-susceptible
6755_2#19,Encapsulated,Susceptible
6925_4#4,Encapsulated,Susceptible
6840_1#12,Encapsulated,Non-susceptible
6753_4#3,Encapsulated,Susceptible
7038_7#21,Encapsulated,Susceptible
6714_8#16,Encapsulated,Susceptible
6983_4#73,Encapsulated,Susceptible
6899_7#12,Encapsulated,Non-susceptible
6630_3#11,Encapsulated,Susceptible
6710_8#1,Encapsulated,Susceptible
7054_6#10,Encapsulated,Susceptible
6807_3#5,Unencapsulated,Susceptible
6710_8#2,Encapsulated,Non-susceptible
